Wavelength (nm)	Absorbance
200,0	3,704
201,0	3,753
202,0	3,800
203,0	3,809
204,0	3,853
205,0	3,897
206,0	3,913
207,0	3,947
208,0	3,982
209,0	4,029
210,0	4,050
211,0	4,075
212,0	4,108
213,0	4,141
214,0	4,177
215,0	4,224
216,0	4,255
217,0	4,301
218,0	4,345
219,0	4,369
220,0	4,394
221,0	4,440
222,0	4,470
223,0	4,462
224,0	4,525
225,0	4,515
226,0	4,550
227,0	4,569
228,0	4,614
229,0	4,571
230,0	4,591
231,0	4,610
232,0	4,579
233,0	4,598
234,0	4,603
235,0	4,606
236,0	4,582
237,0	4,587
238,0	4,552
239,0	4,521
240,0	4,514
241,0	4,441
242,0	4,403
243,0	4,383
244,0	4,342
245,0	4,256
246,0	4,209
247,0	4,175
248,0	4,122
249,0	4,051
250,0	3,990
251,0	3,929
252,0	3,854
253,0	3,796
254,0	3,727
255,0	3,665
256,0	3,592
257,0	3,523
258,0	3,445
259,0	3,371
260,0	3,294
261,0	3,222
262,0	3,143
263,0	3,065
264,0	2,988
265,0	2,908
266,0	2,835
267,0	2,761
268,0	2,686
269,0	2,616
270,0	2,545
271,0	2,480
272,0	2,419
273,0	2,362
274,0	2,309
275,0	2,263
276,0	2,217
277,0	2,179
278,0	2,144
279,0	2,113
280,0	2,085
281,0	2,062
282,0	2,041
283,0	2,022
284,0	2,007
285,0	1,992
286,0	1,980
287,0	1,969
288,0	1,959
289,0	1,952
290,0	1,944
291,0	1,936
292,0	1,929
293,0	1,922
294,0	1,914
295,0	1,906
296,0	1,899
297,0	1,890
298,0	1,882
299,0	1,872
300,0	1,863
301,0	1,854
302,0	1,843
303,0	1,831
304,0	1,818
305,0	1,804
306,0	1,789
307,0	1,771
308,0	1,753
309,0	1,733
310,0	1,713
311,0	1,693
312,0	1,672
313,0	1,651
314,0	1,630
315,0	1,609
316,0	1,589
317,0	1,569
318,0	1,549
319,0	1,529
320,0	1,509
321,0	1,490
322,0	1,470
323,0	1,449
324,0	1,450
325,0	1,429
326,0	1,407
327,0	1,385
328,0	1,363
329,0	1,343
330,0	1,320
331,0	1,298
332,0	1,276
333,0	1,254
334,0	1,233
335,0	1,212
336,0	1,191
337,0	1,171
338,0	1,153
339,0	1,135
340,0	1,118
341,0	1,103
342,0	1,087
343,0	1,072
344,0	1,058
345,0	1,043
346,0	1,029
347,0	1,015
348,0	1,002
349,0	0,988
350,0	0,976
351,0	0,963
352,0	0,951
353,0	0,940
354,0	0,928
355,0	0,917
356,0	0,907
357,0	0,896
358,0	0,887
359,0	0,878
360,0	0,869
361,0	0,860
362,0	0,851
363,0	0,841
364,0	0,831
365,0	0,822
366,0	0,811
367,0	0,801
368,0	0,791
369,0	0,780
370,0	0,769
371,0	0,759
372,0	0,748
373,0	0,737
374,0	0,727
375,0	0,717
376,0	0,708
377,0	0,698
378,0	0,689
379,0	0,680
380,0	0,671
381,0	0,663
382,0	0,654
383,0	0,646
384,0	0,638
385,0	0,630
386,0	0,621
387,0	0,613
388,0	0,605
389,0	0,597
390,0	0,590
391,0	0,582
392,0	0,575
393,0	0,567
394,0	0,559
395,0	0,551
396,0	0,544
397,0	0,537
398,0	0,530
399,0	0,523
400,0	0,516
401,0	0,509
402,0	0,502
403,0	0,496
404,0	0,489
405,0	0,483
406,0	0,477
407,0	0,471
408,0	0,465
409,0	0,459
410,0	0,453
411,0	0,447
412,0	0,442
413,0	0,436
414,0	0,431
415,0	0,426
416,0	0,420
417,0	0,415
418,0	0,410
419,0	0,405
420,0	0,400
421,0	0,395
422,0	0,390
423,0	0,386
424,0	0,381
425,0	0,377
426,0	0,372
427,0	0,367
428,0	0,363
429,0	0,358
430,0	0,354
431,0	0,350
432,0	0,346
433,0	0,341
434,0	0,337
435,0	0,333
436,0	0,329
437,0	0,325
438,0	0,322
439,0	0,318
440,0	0,314
441,0	0,311
442,0	0,308
443,0	0,304
444,0	0,301
445,0	0,297
446,0	0,294
447,0	0,291
448,0	0,288
449,0	0,285
450,0	0,282
451,0	0,279
452,0	0,276
453,0	0,273
454,0	0,270
455,0	0,267
456,0	0,265
457,0	0,262
458,0	0,259
459,0	0,257
460,0	0,254
461,0	0,252
462,0	0,249
463,0	0,247
464,0	0,244
465,0	0,242
466,0	0,239
467,0	0,237
468,0	0,235
469,0	0,232
470,0	0,230
471,0	0,228
472,0	0,225
473,0	0,223
474,0	0,221
475,0	0,219
476,0	0,217
477,0	0,215
478,0	0,213
479,0	0,211
480,0	0,209
481,0	0,207
482,0	0,205
483,0	0,204
484,0	0,202
485,0	0,201
486,0	0,199
487,0	0,197
488,0	0,196
489,0	0,194
490,0	0,193
491,0	0,191
492,0	0,190
493,0	0,188
494,0	0,187
495,0	0,186
496,0	0,184
497,0	0,183
498,0	0,181
499,0	0,180
500,0	0,179
501,0	0,177
502,0	0,176
503,0	0,175
504,0	0,174
505,0	0,172
506,0	0,171
507,0	0,170
508,0	0,169
509,0	0,168
510,0	0,166
511,0	0,165
512,0	0,164
513,0	0,163
514,0	0,162
515,0	0,161
516,0	0,160
517,0	0,159
518,0	0,158
519,0	0,157
520,0	0,156
521,0	0,154
522,0	0,153
523,0	0,152
524,0	0,151
525,0	0,150
526,0	0,149
527,0	0,148
528,0	0,147
529,0	0,147
530,0	0,146
531,0	0,145
532,0	0,144
533,0	0,143
534,0	0,142
535,0	0,141
536,0	0,141
537,0	0,139
538,0	0,138
539,0	0,138
540,0	0,137
541,0	0,136
542,0	0,135
543,0	0,134
544,0	0,134
545,0	0,133
546,0	0,132
547,0	0,132
548,0	0,131
549,0	0,130
550,0	0,129
