Wavelength (nm)	Absorbance
200,0	3,490
201,0	3,502
202,0	3,507
203,0	3,522
204,0	3,537
205,0	3,564
206,0	3,579
207,0	3,592
208,0	3,616
209,0	3,638
210,0	3,653
211,0	3,690
212,0	3,715
213,0	3,740
214,0	3,777
215,0	3,799
216,0	3,824
217,0	3,861
218,0	3,890
219,0	3,925
220,0	3,970
221,0	3,988
222,0	4,018
223,0	4,047
224,0	4,083
225,0	4,121
226,0	4,124
227,0	4,162
228,0	4,174
229,0	4,181
230,0	4,196
231,0	4,196
232,0	4,214
233,0	4,210
234,0	4,193
235,0	4,199
236,0	4,238
237,0	4,212
238,0	4,214
239,0	4,177
240,0	4,159
241,0	4,134
242,0	4,112
243,0	4,075
244,0	4,065
245,0	4,036
246,0	3,995
247,0	3,958
248,0	3,927
249,0	3,888
250,0	3,850
251,0	3,815
252,0	3,778
253,0	3,725
254,0	3,690
255,0	3,642
256,0	3,597
257,0	3,550
258,0	3,498
259,0	3,451
260,0	3,397
261,0	3,345
262,0	3,289
263,0	3,234
264,0	3,178
265,0	3,119
266,0	3,067
267,0	3,007
268,0	2,950
269,0	2,893
270,0	2,838
271,0	2,782
272,0	2,728
273,0	2,677
274,0	2,630
275,0	2,587
276,0	2,543
277,0	2,504
278,0	2,468
279,0	2,434
280,0	2,403
281,0	2,374
282,0	2,350
283,0	2,328
284,0	2,307
285,0	2,289
286,0	2,271
287,0	2,255
288,0	2,243
289,0	2,227
290,0	2,218
291,0	2,207
292,0	2,197
293,0	2,188
294,0	2,177
295,0	2,169
296,0	2,160
297,0	2,151
298,0	2,142
299,0	2,134
300,0	2,126
301,0	2,118
302,0	2,108
303,0	2,099
304,0	2,088
305,0	2,077
306,0	2,065
307,0	2,053
308,0	2,037
309,0	2,023
310,0	2,006
311,0	1,990
312,0	1,974
313,0	1,955
314,0	1,937
315,0	1,920
316,0	1,902
317,0	1,885
318,0	1,868
319,0	1,850
320,0	1,832
321,0	1,815
322,0	1,798
323,0	1,780
324,0	1,763
325,0	1,745
326,0	1,727
327,0	1,707
328,0	1,689
329,0	1,671
330,0	1,651
331,0	1,632
332,0	1,613
333,0	1,592
334,0	1,572
335,0	1,552
336,0	1,531
337,0	1,512
338,0	1,494
339,0	1,476
340,0	1,459
341,0	1,443
342,0	1,426
343,0	1,410
344,0	1,395
345,0	1,381
346,0	1,366
347,0	1,353
348,0	1,339
349,0	1,325
350,0	1,312
351,0	1,299
352,0	1,286
353,0	1,274
354,0	1,262
355,0	1,250
356,0	1,238
357,0	1,227
358,0	1,216
359,0	1,206
360,0	1,196
361,0	1,186
362,0	1,176
363,0	1,166
364,0	1,156
365,0	1,145
366,0	1,135
367,0	1,125
368,0	1,114
369,0	1,103
370,0	1,092
371,0	1,081
372,0	1,070
373,0	1,058
374,0	1,048
375,0	1,037
376,0	1,027
377,0	1,016
378,0	1,006
379,0	0,996
380,0	0,986
381,0	0,976
382,0	0,967
383,0	0,957
384,0	0,948
385,0	0,939
386,0	0,930
387,0	0,920
388,0	0,912
389,0	0,903
390,0	0,894
391,0	0,886
392,0	0,877
393,0	0,868
394,0	0,860
395,0	0,851
396,0	0,842
397,0	0,834
398,0	0,826
399,0	0,818
400,0	0,810
401,0	0,802
402,0	0,794
403,0	0,786
404,0	0,778
405,0	0,771
406,0	0,764
407,0	0,756
408,0	0,749
409,0	0,741
410,0	0,734
411,0	0,727
412,0	0,720
413,0	0,714
414,0	0,707
415,0	0,700
416,0	0,694
417,0	0,688
418,0	0,681
419,0	0,675
420,0	0,669
421,0	0,663
422,0	0,657
423,0	0,651
424,0	0,646
425,0	0,640
426,0	0,634
427,0	0,628
428,0	0,623
429,0	0,617
430,0	0,611
431,0	0,606
432,0	0,600
433,0	0,595
434,0	0,589
435,0	0,584
436,0	0,579
437,0	0,574
438,0	0,569
439,0	0,565
440,0	0,560
441,0	0,555
442,0	0,551
443,0	0,547
444,0	0,542
445,0	0,538
446,0	0,533
447,0	0,529
448,0	0,524
449,0	0,520
450,0	0,516
451,0	0,512
452,0	0,508
453,0	0,504
454,0	0,500
455,0	0,497
456,0	0,493
457,0	0,489
458,0	0,485
459,0	0,482
460,0	0,478
461,0	0,475
462,0	0,471
463,0	0,468
464,0	0,465
465,0	0,461
466,0	0,458
467,0	0,455
468,0	0,451
469,0	0,448
470,0	0,445
471,0	0,442
472,0	0,439
473,0	0,436
474,0	0,433
475,0	0,430
476,0	0,427
477,0	0,424
478,0	0,421
479,0	0,418
480,0	0,415
481,0	0,412
482,0	0,410
483,0	0,407
484,0	0,404
485,0	0,402
486,0	0,399
487,0	0,397
488,0	0,394
489,0	0,392
490,0	0,389
491,0	0,387
492,0	0,384
493,0	0,382
494,0	0,380
495,0	0,377
496,0	0,375
497,0	0,373
498,0	0,370
499,0	0,368
500,0	0,366
501,0	0,364
