Wavelength (nm)	Absorbance
200,0	1,338
201,0	1,315
202,0	1,294
203,0	1,275
204,0	1,257
205,0	1,242
206,0	1,229
207,0	1,216
208,0	1,205
209,0	1,196
210,0	1,189
211,0	1,183
212,0	1,177
213,0	1,173
214,0	1,169
215,0	1,167
216,0	1,164
217,0	1,163
218,0	1,163
219,0	1,162
220,0	1,162
221,0	1,162
222,0	1,161
223,0	1,161
224,0	1,161
225,0	1,159
226,0	1,158
227,0	1,157
228,0	1,155
229,0	1,153
230,0	1,150
231,0	1,147
232,0	1,144
233,0	1,142
234,0	1,140
235,0	1,139
236,0	1,139
237,0	1,140
238,0	1,142
239,0	1,144
240,0	1,147
241,0	1,151
242,0	1,155
243,0	1,160
244,0	1,165
245,0	1,171
246,0	1,177
247,0	1,184
248,0	1,191
249,0	1,198
250,0	1,205
251,0	1,212
252,0	1,219
253,0	1,226
254,0	1,233
255,0	1,240
256,0	1,246
257,0	1,252
258,0	1,257
259,0	1,262
260,0	1,267
261,0	1,271
262,0	1,275
263,0	1,278
264,0	1,280
265,0	1,281
266,0	1,282
267,0	1,282
268,0	1,280
269,0	1,278
270,0	1,276
271,0	1,272
272,0	1,267
273,0	1,262
274,0	1,255
275,0	1,248
276,0	1,240
277,0	1,232
278,0	1,223
279,0	1,213
280,0	1,202
281,0	1,191
282,0	1,180
283,0	1,169
284,0	1,157
285,0	1,144
286,0	1,130
287,0	1,117
288,0	1,103
289,0	1,089
290,0	1,075
291,0	1,061
292,0	1,046
293,0	1,033
294,0	1,018
295,0	1,003
296,0	0,989
297,0	0,976
298,0	0,962
299,0	0,948
300,0	0,936
301,0	0,923
302,0	0,909
303,0	0,897
304,0	0,884
305,0	0,872
306,0	0,860
307,0	0,848
308,0	0,836
309,0	0,825
310,0	0,814
311,0	0,804
312,0	0,794
313,0	0,784
314,0	0,775
315,0	0,766
316,0	0,757
317,0	0,749
318,0	0,741
319,0	0,733
320,0	0,726
321,0	0,720
322,0	0,713
323,0	0,707
324,0	0,701
325,0	0,695
326,0	0,690
327,0	0,685
328,0	0,680
329,0	0,676
330,0	0,671
331,0	0,667
332,0	0,662
333,0	0,658
334,0	0,654
335,0	0,650
336,0	0,645
337,0	0,641
338,0	0,638
339,0	0,634
340,0	0,630
341,0	0,626
342,0	0,622
343,0	0,618
344,0	0,615
345,0	0,611
346,0	0,608
347,0	0,605
348,0	0,601
349,0	0,598
350,0	0,594
351,0	0,591
352,0	0,587
353,0	0,584
354,0	0,581
355,0	0,577
356,0	0,574
357,0	0,571
358,0	0,567
359,0	0,564
360,0	0,560
361,0	0,557
362,0	0,554
363,0	0,550
364,0	0,547
365,0	0,543
366,0	0,540
367,0	0,536
368,0	0,533
369,0	0,529
370,0	0,525
371,0	0,522
372,0	0,518
373,0	0,514
374,0	0,511
375,0	0,507
376,0	0,503
377,0	0,500
378,0	0,496
379,0	0,492
380,0	0,489
381,0	0,485
382,0	0,481
383,0	0,477
384,0	0,474
385,0	0,470
386,0	0,466
387,0	0,462
388,0	0,458
389,0	0,454
390,0	0,451
391,0	0,447
392,0	0,443
393,0	0,440
394,0	0,436
395,0	0,433
396,0	0,429
397,0	0,425
398,0	0,422
399,0	0,418
400,0	0,415
401,0	0,412
402,0	0,408
403,0	0,405
404,0	0,402
405,0	0,398
406,0	0,395
407,0	0,392
408,0	0,389
409,0	0,385
410,0	0,382
411,0	0,379
412,0	0,376
413,0	0,373
414,0	0,370
415,0	0,367
416,0	0,364
417,0	0,362
418,0	0,359
419,0	0,357
420,0	0,354
421,0	0,352
422,0	0,349
423,0	0,347
424,0	0,344
425,0	0,342
426,0	0,340
427,0	0,337
428,0	0,335
429,0	0,333
430,0	0,331
431,0	0,328
432,0	0,326
433,0	0,324
434,0	0,322
435,0	0,320
436,0	0,318
437,0	0,316
438,0	0,314
439,0	0,312
440,0	0,310
441,0	0,308
442,0	0,306
443,0	0,304
444,0	0,303
445,0	0,301
446,0	0,299
447,0	0,297
448,0	0,296
449,0	0,294
450,0	0,292
451,0	0,291
452,0	0,289
453,0	0,287
454,0	0,286
455,0	0,284
456,0	0,283
457,0	0,281
458,0	0,279
459,0	0,278
460,0	0,276
461,0	0,275
462,0	0,273
463,0	0,272
464,0	0,271
465,0	0,269
466,0	0,268
467,0	0,266
468,0	0,265
469,0	0,264
470,0	0,262
471,0	0,261
472,0	0,260
473,0	0,259
474,0	0,257
475,0	0,256
476,0	0,255
477,0	0,254
478,0	0,253
479,0	0,251
480,0	0,250
481,0	0,249
482,0	0,248
483,0	0,246
484,0	0,245
485,0	0,244
486,0	0,243
487,0	0,242
488,0	0,241
489,0	0,240
490,0	0,239
491,0	0,238
492,0	0,237
493,0	0,236
494,0	0,235
495,0	0,234
496,0	0,233
497,0	0,232
498,0	0,231
499,0	0,230
500,0	0,230
501,0	0,229
502,0	0,228
503,0	0,227
504,0	0,226
505,0	0,225
506,0	0,224
507,0	0,223
508,0	0,223
509,0	0,222
510,0	0,221
511,0	0,220
512,0	0,220
513,0	0,219
514,0	0,218
515,0	0,217
516,0	0,217
517,0	0,216
518,0	0,215
519,0	0,214
520,0	0,214
521,0	0,213
522,0	0,212
523,0	0,212
524,0	0,211
525,0	0,210
526,0	0,209
527,0	0,209
528,0	0,208
529,0	0,207
530,0	0,207
531,0	0,206
